V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q21,Q10,Q12,Q16_1,Q20,Q21_1,Q19,Q19,Q14,Q8,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,LocationLatitude,LocationLongitude,LocationAccuracy,
R_11jsuLJ5gcW3WKD,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-01 13:51:31,2016-03-01 14:16:49,1,877813,2,3,18,1,,New Zealand,2,Intermediate year of engineering,,6,5,6,2,7,3,6,2,6,2,-43.533294677734,172.63330078125,-1,
R_1mwrtawMQNX5f4L,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-01 14:52:29,2016-03-01 15:03:14,1,690205,2,3,20,1,,,4,Software Engineering,,4,3,6,3,5,5,5,2,3,4,-43.533294677734,172.63330078125,-1,
R_2Y4gfZTz5DEXbim,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-03 07:56:39,2016-03-03 08:24:32,1,788262,2,3,24,1,,New Zealand,7,PhD in Biomechanical Engineering,,2,4,5,5,5,4,6,2,5,4,-43.533294677734,172.63330078125,-1,
R_6h4tUSFjNGCF0Qx,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-03 10:16:14,2016-03-03 10:17:35,1,591371,1,2,19,1,,New Zealand,3,Psychology,,4,3,6,5,5,3,6,3,3,4,,,-1,
R_2477lbyAOpXER9q,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-03 10:57:33,2016-03-03 11:16:00,1,618707,2,2,18,1,,New Zealand,3,Bachelor of Science,,6,2,6,2,7,2,6,5,7,4,-43.533294677734,172.63330078125,-1,
R_T6H0j6b0kbCGPMR,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-03 12:51:50,2016-03-03 13:14:23,1,854812,2,2,22,1,,New Zealand,4,Engineering,,1,6,6,3,5,7,4,2,7,5,-43.533294677734,172.63330078125,-1,
R_1OrxxIjUXsGoGmi,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-03 13:57:07,2016-03-03 14:14:39,1,383463,2,2,30,1,,,2,BA Social Work ,,7,7,7,6,7,1,7,5,6,1,-43.533294677734,172.63330078125,-1,
R_da6pvAUCyadR6bD,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-03 14:56:56,2016-03-03 15:14:18,1,931664,2,2,23,1,,,8,Animal Behaviour,,7,6,7,3,7,1,6,5,5,4,-43.533294677734,172.63330078125,-1,
R_1IuQPOuNNFB7qAJ,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-03 16:26:38,2016-03-03 16:42:16,1,010085,2,2,45,1,,,5,,,5,5,6,4,6,5,5,4,6,5,-43.533294677734,172.63330078125,-1,
R_12iovJ2Mtv8XT6F,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-04 07:56:02,2016-03-04 08:13:52,1,191490,2,2,22,1,,New Zealand,4,"Law, philosophy, sociology",,5,2,6,4,7,5,6,4,6,1,-43.533294677734,172.63330078125,-1,
R_2TNVdUEhzjWT2GW,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-04 08:56:29,2016-03-04 09:10:38,1,620985,1,2,22,1,,NZ,3,Speech and Language Pathology,,3,3,5,5,5,6,6,2,4,6,-43.533294677734,172.63330078125,-1,
