V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q21,Q10,Q12,Q16_1,Q20,Q21_1,Q19,Q19,Q14,Q8,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1KuMGcsAxiAsusv,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-09 14:55:24,2016-02-09 15:36:11,1,149537,1,3,30,1,,New Zealand,7,"Political Science, Philosophy, Music",,6,5,3,5,7,6,5,6,3,1,-43.53190612793,172.63159179688,-1,
R_3M4D6LKPqxGca0b,Default Response Set,Anonymous,,,132.181.65.227,0,2016-02-10 07:51:58,2016-02-10 15:24:07,1,490503,2,3,23,1,,USA,3,Civil Engineering,,5,5,4,3,7,4,5,6,6,3,-43.53190612793,172.63159179688,-1,
R_2UilWnWxZZOf3ui,Default Response Set,Anonymous,,,202.36.179.104,0,2016-05-09 15:33:31,2016-05-10 10:15:33,1,896142,2,3,22,1,,New Zealand,3,BSc in Astronomy and Physics,,3,3,5,2,6,7,6,2,6,3,-43.533294677734,172.63330078125,-1,
R_1jJNF9YdUNUkEye,Default Response Set,Anonymous,,,202.36.179.104,0,2016-05-10 10:58:29,2016-05-10 11:12:53,1,644409,2,3,24,1,,,4,Computer Science,,2,4,6,2,6,6,5,5,6,2,-43.533294677734,172.63330078125,-1,
R_9Mn8asKFOiO8qu5,Default Response Set,Anonymous,,,202.36.179.104,0,2016-05-10 12:59:29,2016-05-10 13:15:32,1,248419,2,2,19,1,,,3,Software Engineering,,5,5,7,4,7,5,5,2,4,3,-43.533294677734,172.63330078125,-1,
R_5ByZ8hAcnDbYyFH,Default Response Set,Anonymous,,,202.36.179.104,0,2016-05-10 13:56:08,2016-05-10 14:10:42,1,806487,2,2,20,1,,,4,"Psychology, Classics, Japanese",,6,5,6,2,6,3,6,5,6,3,-43.533294677734,172.63330078125,-1,
R_1E5sUYKjlMU0Vcm,Default Response Set,Anonymous,,,202.36.179.104,0,2016-05-10 14:58:42,2016-05-10 15:13:44,1,184279,2,3,19,1,,New Zealand,4,Software Engineering,,2,2,5,5,6,6,7,3,4,4,-43.533294677734,172.63330078125,-1,
R_1gunwpIlO8S7QEU,Default Response Set,Anonymous,,,202.36.179.104,0,2016-05-10 16:52:59,2016-05-10 17:13:22,1,936626,2,2,28,1,,New Zealand,7,,,5,6,5,4,6,5,5,3,3,2,-43.533294677734,172.63330078125,-1,
R_22ndhF1DPedTxkS,Default Response Set,Anonymous,,,202.36.179.104,0,2016-05-11 09:52:54,2016-05-11 10:08:38,1,013925,2,3,25,1,,New Zealand,8,PhD,,7,5,6,3,6,2,7,3,5,3,-43.533294677734,172.63330078125,-1,
R_3NWDbR04iRlB1YP,Default Response Set,Anonymous,,,202.36.179.104,0,2016-05-11 12:03:15,2016-05-11 12:15:53,1,400975,2,2,20,1,,,3,Bachelor of Science majoring in financial engineering,,4,3,4,5,5,6,6,3,3,5,-43.533294677734,172.63330078125,-1,
R_ZHI8QbV9bbiuCf7,Default Response Set,Anonymous,,,202.36.179.104,0,2016-05-11 12:56:30,2016-05-11 14:19:04,1,234034,2,3,18,1,,New Zealand,3,engineering,,6,5,5,2,6,5,5,3,6,4,-43.533294677734,172.63330078125,-1,
