V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q21,Q10,Q12,Q16_1,Q20,Q21_1,Q19,Q19,Q14,Q8,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,LocationLatitude,LocationLongitude,LocationAccuracy,
R_11jsuLJ5gcW3WKD,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-01 13:51:31,2016-03-01 14:16:49,1,877813,No,Male,18,YES,,New Zealand,"Some high school, no diploma",Intermediate year of engineering,,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree strongly,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,-43.533294677734,172.63330078125,-1,
R_1mwrtawMQNX5f4L,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-01 14:52:29,2016-03-01 15:03:14,1,690205,No,Male,20,YES,,,"Some college credit, no degree",Software Engineering,,Neither agree nor disagree,Disagree a little,Agree moderately,Disagree a little,Agree a little,Agree a little,Agree a little,Disagree moderately,Disagree a little,Neither agree nor disagree,-43.533294677734,172.63330078125,-1,
R_2Y4gfZTz5DEXbim,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-03 07:56:39,2016-03-03 08:24:32,1,788262,No,Male,24,YES,,New Zealand,Bachelor’s degree,PhD in Biomechanical Engineering,,Disagree moderately,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree a little,Neither agree nor disagree,-43.533294677734,172.63330078125,-1,
R_6h4tUSFjNGCF0Qx,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-03 10:16:14,2016-03-03 10:17:35,1,591371,Yes,Female,19,YES,,New Zealand,"High school graduate, diploma or the equivalent",Psychology,,Neither agree nor disagree,Disagree a little,Agree moderately,Agree a little,Agree a little,Disagree a little,Agree moderately,Disagree a little,Disagree a little,Neither agree nor disagree,,,-1,
R_2477lbyAOpXER9q,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-03 10:57:33,2016-03-03 11:16:00,1,618707,No,Female,18,YES,,New Zealand,"High school graduate, diploma or the equivalent",Bachelor of Science,,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree strongly,Disagree moderately,Agree moderately,Agree a little,Agree strongly,Neither agree nor disagree,-43.533294677734,172.63330078125,-1,
R_T6H0j6b0kbCGPMR,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-03 12:51:50,2016-03-03 13:14:23,1,854812,No,Female,22,YES,,New Zealand,"Some college credit, no degree",Engineering,,Disagree strongly,Agree moderately,Agree moderately,Disagree a little,Agree a little,Agree strongly,Neither agree nor disagree,Disagree moderately,Agree strongly,Agree a little,-43.533294677734,172.63330078125,-1,
R_1OrxxIjUXsGoGmi,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-03 13:57:07,2016-03-03 14:14:39,1,383463,No,Female,30,YES,,,"Some high school, no diploma",BA Social Work ,,Agree strongly,Agree strongly,Agree strongly,Agree moderately,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Agree moderately,Disagree strongly,-43.533294677734,172.63330078125,-1,
R_da6pvAUCyadR6bD,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-03 14:56:56,2016-03-03 15:14:18,1,931664,No,Female,23,YES,,,Master’s degree,Animal Behaviour,,Agree strongly,Agree moderately,Agree strongly,Disagree a little,Agree strongly,Disagree strongly,Agree moderately,Agree a little,Agree a little,Neither agree nor disagree,-43.533294677734,172.63330078125,-1,
R_1IuQPOuNNFB7qAJ,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-03 16:26:38,2016-03-03 16:42:16,1,010085,No,Female,45,YES,,,Trade/technical/vocational training,,,Agree a little,Agree a little,Agree moderately,Neither agree nor disagree,Agree moderately,Agree a little,Agree a little,Neither agree nor disagree,Agree moderately,Agree a little,-43.533294677734,172.63330078125,-1,
R_12iovJ2Mtv8XT6F,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-04 07:56:02,2016-03-04 08:13:52,1,191490,No,Female,22,YES,,New Zealand,"Some college credit, no degree","Law, philosophy, sociology",,Agree a little,Disagree moderately,Agree moderately,Neither agree nor disagree,Agree strongly,Agree a little,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree strongly,-43.533294677734,172.63330078125,-1,
R_2TNVdUEhzjWT2GW,Default Response Set,Anonymous,,,202.36.179.107,0,2016-03-04 08:56:29,2016-03-04 09:10:38,1,620985,Yes,Female,22,YES,,NZ,"High school graduate, diploma or the equivalent",Speech and Language Pathology,,Disagree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Agree moderately,Agree moderately,Disagree moderately,Neither agree nor disagree,Agree moderately,-43.533294677734,172.63330078125,-1,
